strategy,trades,wins,losses,win_rate_%,net_moves,avg_moves,profit_factor,avg_hold_min,max_loss_streak,ambiguous
Fast Impulse Breakout,15.0,3.0,12.0,20.0,-126.0,-8.4,0.42,4.3,7.0,0.0
Fast Reversal,101.0,37.0,64.0,36.6,-99.0,-0.98,0.91,6.6,11.0,1.0
