time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,open_mid,high_mid,low_mid,close_mid,spread_moves,date
2026-06-02 03:00:00+03:00,1.16352,1.16355,1.16346,1.16349,1.16357,1.16358,1.16352,1.16354,1.163545,1.1635650000000002,1.16349,1.1635149999999999,5.000000000010552,2026-06-02
2026-06-02 03:01:00+03:00,1.16348,1.1635,1.16344,1.16349,1.16353,1.16355,1.16349,1.16353,1.163505,1.163525,1.163465,1.16351,4.000000000004,2026-06-02
2026-06-02 03:02:00+03:00,1.16351,1.16351,1.16338,1.1634,1.16354,1.16354,1.16342,1.16344,1.163525,1.163525,1.1634,1.16342,4.000000000004,2026-06-02
2026-06-02 03:03:00+03:00,1.16339,1.16347,1.16336,1.16347,1.16344,1.1635,1.16341,1.1635,1.163415,1.163485,1.163385,1.163485,2.9999999999974487,2026-06-02
2026-06-02 03:04:00+03:00,1.16348,1.16349,1.16341,1.16341,1.1635,1.16353,1.16345,1.16345,1.16349,1.16351,1.16343,1.16343,4.000000000004,2026-06-02
2026-06-02 03:05:00+03:00,1.16341,1.16343,1.16327,1.1633,1.16344,1.16347,1.1633,1.16334,1.1634250000000002,1.16345,1.1632850000000001,1.1633200000000001,4.000000000004,2026-06-02
2026-06-02 03:06:00+03:00,1.16328,1.16328,1.16316,1.16318,1.16332,1.16332,1.16319,1.16323,1.1633,1.1633,1.1631749999999998,1.163205,4.999999999988347,2026-06-02
2026-06-02 03:07:00+03:00,1.1632,1.16322,1.16314,1.16322,1.16324,1.16325,1.16319,1.16325,1.16322,1.1632349999999998,1.163165,1.1632349999999998,2.9999999999974487,2026-06-02
2026-06-02 03:08:00+03:00,1.16319,1.16319,1.16303,1.16307,1.16324,1.16324,1.16305,1.16309,1.163215,1.163215,1.16304,1.16308,1.9999999999908977,2026-06-02
2026-06-02 03:09:00+03:00,1.16306,1.16307,1.16298,1.16302,1.16309,1.16311,1.16302,1.16304,1.163075,1.16309,1.1629999999999998,1.16303,2.0000000000131024,2026-06-02
2026-06-02 03:10:00+03:00,1.16302,1.16328,1.16301,1.16323,1.16305,1.1633,1.16305,1.16325,1.1630349999999998,1.16329,1.16303,1.16324,1.9999999999908977,2026-06-02
2026-06-02 03:11:00+03:00,1.16324,1.16333,1.16323,1.16324,1.16328,1.16336,1.16326,1.16326,1.1632600000000002,1.163345,1.1632449999999999,1.1632500000000001,1.9999999999908977,2026-06-02
2026-06-02 03:12:00+03:00,1.16321,1.16327,1.16321,1.16326,1.16326,1.16331,1.16324,1.1633,1.163235,1.16329,1.1632250000000002,1.1632799999999999,4.000000000004,2026-06-02
2026-06-02 03:13:00+03:00,1.16327,1.16333,1.16327,1.16331,1.1633,1.16335,1.1633,1.16333,1.1632850000000001,1.16334,1.1632850000000001,1.1633200000000001,1.9999999999908977,2026-06-02
2026-06-02 03:14:00+03:00,1.1633,1.16332,1.16329,1.16331,1.16335,1.16335,1.16332,1.16334,1.163325,1.163335,1.1633049999999998,1.163325,2.9999999999974487,2026-06-02
2026-06-02 03:15:00+03:00,1.16331,1.16337,1.16328,1.16331,1.16336,1.16341,1.16331,1.16334,1.163335,1.1633900000000001,1.1632950000000002,1.163325,2.9999999999974487,2026-06-02
2026-06-02 03:16:00+03:00,1.1633,1.16331,1.16325,1.1633,1.16334,1.16334,1.16328,1.16334,1.1633200000000001,1.163325,1.163265,1.1633200000000001,4.000000000004,2026-06-02
2026-06-02 03:17:00+03:00,1.16331,1.16337,1.16329,1.16334,1.16334,1.16341,1.16333,1.16336,1.163325,1.1633900000000001,1.16331,1.1633499999999999,1.9999999999908977,2026-06-02
2026-06-02 03:18:00+03:00,1.16332,1.16334,1.1633,1.16331,1.16336,1.16338,1.16333,1.16336,1.1633399999999998,1.16336,1.1633149999999999,1.163335,4.999999999988347,2026-06-02
2026-06-02 03:19:00+03:00,1.1633,1.16339,1.1633,1.16337,1.16335,1.16342,1.16334,1.16339,1.163325,1.163405,1.1633200000000001,1.16338,1.9999999999908977,2026-06-02
2026-06-02 03:20:00+03:00,1.16337,1.16337,1.16328,1.16331,1.16338,1.1634,1.16333,1.16335,1.163375,1.163385,1.163305,1.1633300000000002,4.000000000004,2026-06-02
2026-06-02 03:21:00+03:00,1.16332,1.16342,1.16331,1.16341,1.16335,1.16344,1.16335,1.16343,1.163335,1.16343,1.1633300000000002,1.16342,1.9999999999908977,2026-06-02
2026-06-02 03:22:00+03:00,1.1634,1.16343,1.16335,1.16335,1.16343,1.16346,1.16339,1.1634,1.163415,1.1634449999999998,1.16337,1.163375,4.999999999988347,2026-06-02
2026-06-02 03:23:00+03:00,1.16337,1.16337,1.16329,1.16329,1.16339,1.16339,1.16333,1.16333,1.16338,1.16338,1.16331,1.16331,4.000000000004,2026-06-02
2026-06-02 03:24:00+03:00,1.16328,1.16328,1.16322,1.16323,1.16332,1.16332,1.16326,1.16327,1.1633,1.1633,1.16324,1.1632500000000001,4.000000000004,2026-06-02
