Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-03T03:00:00+03:00,1.16214,1.16221,1.16207,1.16219,138600000
2026-06-03T03:01:00+03:00,1.16219,1.16221,1.16214,1.16217,65250000
2026-06-03T03:02:00+03:00,1.16218,1.16218,1.16212,1.16212,46800000
2026-06-03T03:03:00+03:00,1.16212,1.16222,1.1621,1.1622,82800000
2026-06-03T03:04:00+03:00,1.16221,1.16227,1.16221,1.16226,57600000
2026-06-03T03:05:00+03:00,1.16225,1.16229,1.1622,1.16228,73800000
2026-06-03T03:06:00+03:00,1.16227,1.16233,1.16226,1.16232,39150000
2026-06-03T03:07:00+03:00,1.16232,1.16234,1.16228,1.1623,46800000
2026-06-03T03:08:00+03:00,1.16231,1.16231,1.16226,1.16226,18000000
2026-06-03T03:09:00+03:00,1.16223,1.16226,1.1622,1.16224,49500000
2026-06-03T03:10:00+03:00,1.16222,1.16227,1.1622,1.16226,33750000
2026-06-03T03:11:00+03:00,1.16227,1.16235,1.16226,1.16231,45450000
2026-06-03T03:12:00+03:00,1.16231,1.16234,1.1623,1.16233,21600000
2026-06-03T03:13:00+03:00,1.16233,1.16243,1.1623,1.16232,66600000
2026-06-03T03:14:00+03:00,1.16232,1.16236,1.1623,1.16235,23850000
2026-06-03T03:15:00+03:00,1.16234,1.16234,1.16225,1.16231,42750000
2026-06-03T03:16:00+03:00,1.16229,1.16236,1.16229,1.16236,35100000
2026-06-03T03:17:00+03:00,1.16236,1.16243,1.16235,1.16241,31950000
2026-06-03T03:18:00+03:00,1.16239,1.16249,1.16239,1.16247,29700000
2026-06-03T03:19:00+03:00,1.16246,1.16252,1.16246,1.16249,43200000
2026-06-03T03:20:00+03:00,1.16249,1.16252,1.16248,1.16248,36000000
2026-06-03T03:21:00+03:00,1.16249,1.16271,1.16249,1.16265,79650000
2026-06-03T03:22:00+03:00,1.16267,1.16268,1.1626,1.16262,25200000
2026-06-03T03:23:00+03:00,1.16261,1.16264,1.16257,1.16261,45900000
2026-06-03T03:24:00+03:00,1.16262,1.16263,1.1626,1.1626,30600000
2026-06-03T03:25:00+03:00,1.1626,1.16262,1.16257,1.16262,18000000
2026-06-03T03:26:00+03:00,1.16262,1.1627,1.16262,1.16269,27450000
2026-06-03T03:27:00+03:00,1.16267,1.16271,1.16266,1.16271,17100000
2026-06-03T03:28:00+03:00,1.1627,1.16273,1.16269,1.16272,22500000
2026-06-03T03:29:00+03:00,1.16271,1.16274,1.16269,1.16274,32400000
2026-06-03T03:30:00+03:00,1.16274,1.16277,1.16272,1.16272,41400000
2026-06-03T03:31:00+03:00,1.16273,1.16282,1.16271,1.16281,28800000
2026-06-03T03:32:00+03:00,1.16281,1.16281,1.16278,1.1628,38700000
2026-06-03T03:33:00+03:00,1.16281,1.16283,1.16279,1.1628,23400000
2026-06-03T03:34:00+03:00,1.16279,1.16282,1.16279,1.16282,19800000
2026-06-03T03:35:00+03:00,1.16281,1.16282,1.16281,1.16282,1800000
2026-06-03T03:36:00+03:00,1.16281,1.16287,1.16281,1.16284,19800000
2026-06-03T03:37:00+03:00,1.16285,1.16286,1.16285,1.16286,7200000
2026-06-03T03:38:00+03:00,1.16284,1.16289,1.16284,1.16286,10350000
2026-06-03T03:39:00+03:00,1.16287,1.16297,1.16287,1.16296,28350000
2026-06-03T03:40:00+03:00,1.16296,1.16302,1.16296,1.16302,29700000
2026-06-03T03:41:00+03:00,1.16301,1.16308,1.16301,1.16308,11250000
2026-06-03T03:42:00+03:00,1.16309,1.1631,1.16298,1.163,30600000
2026-06-03T03:43:00+03:00,1.163,1.16304,1.16298,1.16299,18900000
2026-06-03T03:44:00+03:00,1.16298,1.16301,1.16291,1.16293,32400000
2026-06-03T03:45:00+03:00,1.16292,1.16293,1.16289,1.16291,27900000
2026-06-03T03:46:00+03:00,1.16291,1.16291,1.16284,1.16286,38700000
2026-06-03T03:47:00+03:00,1.16284,1.16287,1.16284,1.16285,12600000
2026-06-03T03:48:00+03:00,1.16284,1.16285,1.16281,1.16282,44100000
2026-06-03T03:49:00+03:00,1.16278,1.16286,1.16277,1.16283,42750000
2026-06-03T03:50:00+03:00,1.16284,1.1629,1.16283,1.16287,69300000
2026-06-03T03:51:00+03:00,1.16286,1.16295,1.16285,1.16292,32850000
2026-06-03T03:52:00+03:00,1.16293,1.16295,1.16289,1.1629,39150000
2026-06-03T03:53:00+03:00,1.16288,1.1629,1.1628,1.16281,67500000
2026-06-03T03:54:00+03:00,1.16281,1.16287,1.16279,1.16282,77400000
2026-06-03T03:55:00+03:00,1.1628,1.16282,1.16277,1.16279,34650000
2026-06-03T03:56:00+03:00,1.16278,1.16286,1.16278,1.16285,34200000
2026-06-03T03:57:00+03:00,1.16285,1.1629,1.16283,1.16287,21150000
2026-06-03T03:58:00+03:00,1.16289,1.16291,1.16289,1.1629,10800000
2026-06-03T03:59:00+03:00,1.1629,1.16295,1.16287,1.1629,47250000
2026-06-03T04:00:00+03:00,1.16291,1.16296,1.16274,1.16278,87750000
2026-06-03T04:01:00+03:00,1.16277,1.16282,1.16274,1.16274,72000000
2026-06-03T04:02:00+03:00,1.16276,1.16276,1.16265,1.16272,96300000
2026-06-03T04:03:00+03:00,1.1627,1.16278,1.16268,1.16274,69750000
2026-06-03T04:04:00+03:00,1.16275,1.16275,1.16272,1.16273,5400000
2026-06-03T04:05:00+03:00,1.16275,1.1628,1.1627,1.1628,53550000
2026-06-03T04:06:00+03:00,1.16278,1.16279,1.16266,1.16266,22050000
2026-06-03T04:07:00+03:00,1.16268,1.16271,1.16264,1.16266,57600000
2026-06-03T04:08:00+03:00,1.16268,1.16283,1.16267,1.16281,38250000
2026-06-03T04:09:00+03:00,1.16281,1.16284,1.1628,1.16281,23400000
2026-06-03T04:10:00+03:00,1.16282,1.16288,1.1628,1.16285,27900000
2026-06-03T04:11:00+03:00,1.16282,1.16283,1.1628,1.16281,15750000
2026-06-03T04:12:00+03:00,1.16281,1.16281,1.16275,1.16275,18000000
2026-06-03T04:13:00+03:00,1.16273,1.1628,1.16272,1.16279,43200000
2026-06-03T04:14:00+03:00,1.16279,1.16286,1.16277,1.16282,49950000
2026-06-03T04:15:00+03:00,1.16282,1.16287,1.16276,1.16287,69300000
2026-06-03T04:16:00+03:00,1.16286,1.16287,1.16282,1.16287,63450000
2026-06-03T04:17:00+03:00,1.16286,1.16286,1.16275,1.16275,102600000
2026-06-03T04:18:00+03:00,1.16276,1.16282,1.16274,1.16282,74700000
2026-06-03T04:19:00+03:00,1.16281,1.16282,1.16279,1.16279,24300000
2026-06-03T04:20:00+03:00,1.16281,1.16283,1.16278,1.1628,43200000
2026-06-03T04:21:00+03:00,1.16281,1.16287,1.1628,1.16284,53550000
