Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-05T03:00:00+03:00,1.16125,1.16132,1.16121,1.16132,123300000
2026-06-05T03:01:00+03:00,1.16133,1.16133,1.16117,1.16119,117670000
2026-06-05T03:02:00+03:00,1.16119,1.16132,1.16117,1.16131,68850000
2026-06-05T03:03:00+03:00,1.16132,1.16132,1.16122,1.16123,35550000
2026-06-05T03:04:00+03:00,1.16124,1.16142,1.16124,1.16135,119250000
2026-06-05T03:05:00+03:00,1.16135,1.16144,1.16135,1.16138,43650000
2026-06-05T03:06:00+03:00,1.16136,1.16137,1.16131,1.16131,43200000
2026-06-05T03:07:00+03:00,1.16132,1.16134,1.16126,1.16134,41400000
2026-06-05T03:08:00+03:00,1.16134,1.16137,1.16134,1.16135,28350000
2026-06-05T03:09:00+03:00,1.16134,1.1614,1.16134,1.16137,39150000
2026-06-05T03:10:00+03:00,1.16138,1.16145,1.16137,1.16137,40050000
2026-06-05T03:11:00+03:00,1.1614,1.1614,1.16129,1.16132,34200000
2026-06-05T03:12:00+03:00,1.1613,1.16136,1.16126,1.16134,45900000
2026-06-05T03:13:00+03:00,1.16136,1.16136,1.16123,1.16124,31950000
2026-06-05T03:14:00+03:00,1.16124,1.16124,1.16113,1.16119,57600000
2026-06-05T03:15:00+03:00,1.1612,1.16132,1.16118,1.16125,82800000
2026-06-05T03:16:00+03:00,1.16125,1.16125,1.16116,1.16123,58950000
2026-06-05T03:17:00+03:00,1.16121,1.16122,1.16114,1.16118,41850000
2026-06-05T03:18:00+03:00,1.16116,1.16123,1.16116,1.1612,47250000
2026-06-05T03:19:00+03:00,1.16121,1.16124,1.16119,1.16123,19800000
2026-06-05T03:20:00+03:00,1.16124,1.16126,1.16116,1.1612,65250000
2026-06-05T03:21:00+03:00,1.16119,1.16119,1.16113,1.16116,30600000
2026-06-05T03:22:00+03:00,1.16117,1.16124,1.16116,1.16119,45000000
2026-06-05T03:23:00+03:00,1.16119,1.1613,1.16119,1.16129,46350000
2026-06-05T03:24:00+03:00,1.16127,1.16129,1.16123,1.16126,45000000
2026-06-05T03:25:00+03:00,1.16126,1.16128,1.16122,1.16124,65250000
2026-06-05T03:26:00+03:00,1.16124,1.16133,1.16122,1.16127,63900000
2026-06-05T03:27:00+03:00,1.1613,1.16133,1.16128,1.1613,24300000
2026-06-05T03:28:00+03:00,1.16132,1.16135,1.1613,1.16134,24300000
2026-06-05T03:29:00+03:00,1.16135,1.16135,1.16127,1.16133,32400000
2026-06-05T03:30:00+03:00,1.16133,1.16135,1.1613,1.16134,59400000
2026-06-05T03:31:00+03:00,1.16134,1.16134,1.16126,1.16128,37800000
2026-06-05T03:32:00+03:00,1.16127,1.16127,1.16124,1.16124,9900000
2026-06-05T03:33:00+03:00,1.16124,1.16132,1.16122,1.16127,63000000
2026-06-05T03:34:00+03:00,1.16126,1.16131,1.16126,1.16128,15750000
2026-06-05T03:35:00+03:00,1.16128,1.16129,1.16127,1.16128,22500000
2026-06-05T03:36:00+03:00,1.16128,1.16129,1.16123,1.16124,39600000
2026-06-05T03:37:00+03:00,1.16123,1.16125,1.16122,1.16125,12600000
2026-06-05T03:38:00+03:00,1.16125,1.16127,1.16123,1.16125,81000000
2026-06-05T03:39:00+03:00,1.16125,1.16126,1.16122,1.16126,52200000
2026-06-05T03:40:00+03:00,1.16126,1.16133,1.16123,1.1613,62550000
2026-06-05T03:41:00+03:00,1.16131,1.16135,1.16127,1.16128,26550000
2026-06-05T03:42:00+03:00,1.16127,1.1613,1.16127,1.16128,7200000
2026-06-05T03:43:00+03:00,1.16128,1.16128,1.16123,1.16126,14850000
2026-06-05T03:44:00+03:00,1.16126,1.16126,1.16118,1.16119,92700000
2026-06-05T03:45:00+03:00,1.16116,1.16118,1.16111,1.16118,40050000
2026-06-05T03:46:00+03:00,1.16116,1.16124,1.16116,1.16123,53550000
2026-06-05T03:47:00+03:00,1.16122,1.16124,1.16121,1.16121,30150000
2026-06-05T03:48:00+03:00,1.16119,1.16121,1.16117,1.16117,28800000
2026-06-05T03:49:00+03:00,1.16117,1.16118,1.16117,1.16118,11700000
2026-06-05T03:50:00+03:00,1.16117,1.16122,1.16116,1.16122,41400000
2026-06-05T03:51:00+03:00,1.16119,1.16122,1.16118,1.16119,28800000
