Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-02T03:00:00+03:00,1.16357,1.16358,1.16352,1.16354,72450000
2026-06-02T03:01:00+03:00,1.16353,1.16355,1.16349,1.16353,48150000
2026-06-02T03:02:00+03:00,1.16354,1.16354,1.16342,1.16344,37800000
2026-06-02T03:03:00+03:00,1.16344,1.1635,1.16341,1.1635,33300000
2026-06-02T03:04:00+03:00,1.1635,1.16353,1.16345,1.16345,37800000
2026-06-02T03:05:00+03:00,1.16344,1.16347,1.1633,1.16334,63000000
2026-06-02T03:06:00+03:00,1.16332,1.16332,1.16319,1.16323,51300000
2026-06-02T03:07:00+03:00,1.16324,1.16325,1.16319,1.16325,47700000
2026-06-02T03:08:00+03:00,1.16324,1.16324,1.16305,1.16309,82350000
2026-06-02T03:09:00+03:00,1.16309,1.16311,1.16302,1.16304,180450000
2026-06-02T03:10:00+03:00,1.16305,1.1633,1.16305,1.16325,109350000
2026-06-02T03:11:00+03:00,1.16328,1.16336,1.16326,1.16326,58050000
2026-06-02T03:12:00+03:00,1.16326,1.16331,1.16324,1.1633,25650000
2026-06-02T03:13:00+03:00,1.1633,1.16335,1.1633,1.16333,33300000
2026-06-02T03:14:00+03:00,1.16335,1.16335,1.16332,1.16334,34200000
2026-06-02T03:15:00+03:00,1.16336,1.16341,1.16331,1.16334,66600000
2026-06-02T03:16:00+03:00,1.16334,1.16334,1.16328,1.16334,41400000
2026-06-02T03:17:00+03:00,1.16334,1.16341,1.16333,1.16336,34200000
2026-06-02T03:18:00+03:00,1.16336,1.16338,1.16333,1.16336,19800000
2026-06-02T03:19:00+03:00,1.16335,1.16342,1.16334,1.16339,54450000
2026-06-02T03:20:00+03:00,1.16338,1.1634,1.16333,1.16335,21600000
2026-06-02T03:21:00+03:00,1.16335,1.16344,1.16335,1.16343,58950000
2026-06-02T03:22:00+03:00,1.16343,1.16346,1.16339,1.1634,13500000
2026-06-02T03:23:00+03:00,1.16339,1.16339,1.16333,1.16333,19800000
2026-06-02T03:24:00+03:00,1.16332,1.16332,1.16326,1.16327,21150000
2026-06-02T03:25:00+03:00,1.16326,1.16327,1.16323,1.16323,29250000
2026-06-02T03:26:00+03:00,1.16324,1.1633,1.16319,1.16321,29700000
2026-06-02T03:27:00+03:00,1.1632,1.16328,1.1632,1.16327,24750000
2026-06-02T03:28:00+03:00,1.16327,1.16328,1.16325,1.16326,20700000
2026-06-02T03:29:00+03:00,1.16326,1.16334,1.16326,1.16334,42300000
2026-06-02T03:30:00+03:00,1.16332,1.16336,1.16329,1.16336,34200000
2026-06-02T03:31:00+03:00,1.16337,1.16349,1.16337,1.16347,33300000
2026-06-02T03:32:00+03:00,1.16349,1.16349,1.16343,1.16343,38250000
2026-06-02T03:33:00+03:00,1.16343,1.16343,1.16335,1.16336,36000000
2026-06-02T03:34:00+03:00,1.16338,1.16338,1.16334,1.16334,20700000
2026-06-02T03:35:00+03:00,1.16335,1.16339,1.16334,1.16337,16650000
2026-06-02T03:36:00+03:00,1.16338,1.16342,1.16337,1.16338,23850000
2026-06-02T03:37:00+03:00,1.16337,1.1634,1.16336,1.16339,12150000
