Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-03T03:00:00+03:00,1.16209,1.16219,1.16203,1.16216,128250000
2026-06-03T03:01:00+03:00,1.16217,1.16218,1.16211,1.16213,54450000
2026-06-03T03:02:00+03:00,1.16214,1.16215,1.16209,1.1621,63000000
2026-06-03T03:03:00+03:00,1.16209,1.16218,1.16207,1.16217,78300000
2026-06-03T03:04:00+03:00,1.16217,1.16223,1.16217,1.16221,49500000
2026-06-03T03:05:00+03:00,1.16221,1.16226,1.16217,1.16226,65250000
2026-06-03T03:06:00+03:00,1.16225,1.16229,1.16224,1.16228,27900000
2026-06-03T03:07:00+03:00,1.1623,1.1623,1.16225,1.16227,40500000
2026-06-03T03:08:00+03:00,1.16227,1.16228,1.16223,1.16223,16200000
2026-06-03T03:09:00+03:00,1.16222,1.16222,1.16217,1.16222,45000000
2026-06-03T03:10:00+03:00,1.16221,1.16223,1.16218,1.16223,34650000
2026-06-03T03:11:00+03:00,1.16223,1.16231,1.16221,1.16229,37800000
2026-06-03T03:12:00+03:00,1.16228,1.16231,1.16227,1.16229,19350000
2026-06-03T03:13:00+03:00,1.16228,1.16237,1.16227,1.1623,59850000
2026-06-03T03:14:00+03:00,1.16228,1.16234,1.16227,1.16232,21600000
2026-06-03T03:15:00+03:00,1.16232,1.16232,1.16223,1.16228,44100000
2026-06-03T03:16:00+03:00,1.16228,1.16233,1.16228,1.16232,32850000
2026-06-03T03:17:00+03:00,1.16233,1.16239,1.16233,1.16237,39600000
2026-06-03T03:18:00+03:00,1.16238,1.16245,1.16237,1.16243,38700000
2026-06-03T03:19:00+03:00,1.16243,1.1625,1.16243,1.16248,44100000
2026-06-03T03:20:00+03:00,1.16247,1.16249,1.16246,1.16247,32400000
2026-06-03T03:21:00+03:00,1.16248,1.16269,1.16247,1.16264,99900000
2026-06-03T03:22:00+03:00,1.16263,1.16266,1.16257,1.1626,24300000
2026-06-03T03:23:00+03:00,1.1626,1.1626,1.16254,1.16258,56250000
2026-06-03T03:24:00+03:00,1.16258,1.1626,1.16257,1.16258,33750000
