Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-02T03:00:00+03:00,1.16352,1.16355,1.16346,1.16349,68850000
2026-06-02T03:01:00+03:00,1.16348,1.1635,1.16344,1.16349,42300000
2026-06-02T03:02:00+03:00,1.16351,1.16351,1.16338,1.1634,81000000
2026-06-02T03:03:00+03:00,1.16339,1.16347,1.16336,1.16347,57150000
2026-06-02T03:04:00+03:00,1.16348,1.16349,1.16341,1.16341,71090000
2026-06-02T03:05:00+03:00,1.16341,1.16343,1.16327,1.1633,65250000
2026-06-02T03:06:00+03:00,1.16328,1.16328,1.16316,1.16318,65700000
2026-06-02T03:07:00+03:00,1.1632,1.16322,1.16314,1.16322,50400000
2026-06-02T03:08:00+03:00,1.16319,1.16319,1.16303,1.16307,88200000
2026-06-02T03:09:00+03:00,1.16306,1.16307,1.16298,1.16302,138600000
2026-06-02T03:10:00+03:00,1.16302,1.16328,1.16301,1.16323,117900000
2026-06-02T03:11:00+03:00,1.16324,1.16333,1.16323,1.16324,51750000
2026-06-02T03:12:00+03:00,1.16321,1.16327,1.16321,1.16326,26100000
2026-06-02T03:13:00+03:00,1.16327,1.16333,1.16327,1.16331,36900000
2026-06-02T03:14:00+03:00,1.1633,1.16332,1.16329,1.16331,32400000
2026-06-02T03:15:00+03:00,1.16331,1.16337,1.16328,1.16331,72000000
2026-06-02T03:16:00+03:00,1.1633,1.16331,1.16325,1.1633,45000000
2026-06-02T03:17:00+03:00,1.16331,1.16337,1.16329,1.16334,38700000
2026-06-02T03:18:00+03:00,1.16332,1.16334,1.1633,1.16331,24300000
2026-06-02T03:19:00+03:00,1.1633,1.16339,1.1633,1.16337,55800000
2026-06-02T03:20:00+03:00,1.16337,1.16337,1.16328,1.16331,26100000
2026-06-02T03:21:00+03:00,1.16332,1.16342,1.16331,1.16341,68400000
2026-06-02T03:22:00+03:00,1.1634,1.16343,1.16335,1.16335,20250000
2026-06-02T03:23:00+03:00,1.16337,1.16337,1.16329,1.16329,32400000
2026-06-02T03:24:00+03:00,1.16328,1.16328,1.16322,1.16323,22500000
2026-06-02T03:25:00+03:00,1.16322,1.16324,1.16319,1.16321,39600000
2026-06-02T03:26:00+03:00,1.16319,1.16327,1.16316,1.16316,46350000
2026-06-02T03:27:00+03:00,1.16318,1.16324,1.16317,1.16324,34650000
2026-06-02T03:28:00+03:00,1.16323,1.16326,1.16322,1.16324,27900000
2026-06-02T03:29:00+03:00,1.16323,1.16332,1.16322,1.1633,39600000
2026-06-02T03:30:00+03:00,1.1633,1.16334,1.16325,1.16334,44100000
2026-06-02T03:31:00+03:00,1.16334,1.16345,1.16333,1.16345,36900000
2026-06-02T03:32:00+03:00,1.16345,1.16347,1.1634,1.16341,25200000
2026-06-02T03:33:00+03:00,1.1634,1.1634,1.16331,1.16335,32400000
2026-06-02T03:34:00+03:00,1.16334,1.16334,1.16331,1.16331,20700000
2026-06-02T03:35:00+03:00,1.16331,1.16336,1.1633,1.16336,13500000
2026-06-02T03:36:00+03:00,1.16337,1.1634,1.16333,1.16334,17550000
2026-06-02T03:37:00+03:00,1.16333,1.16337,1.16333,1.16337,16200000
2026-06-02T03:38:00+03:00,1.16336,1.16336,1.16332,1.16334,23400000
2026-06-02T03:39:00+03:00,1.16336,1.16336,1.16333,1.16336,21600000
2026-06-02T03:40:00+03:00,1.16336,1.16337,1.16333,1.16334,13050000
2026-06-02T03:41:00+03:00,1.16334,1.16334,1.16329,1.16332,17100000
2026-06-02T03:42:00+03:00,1.1633,1.1633,1.16318,1.16322,55800000
2026-06-02T03:43:00+03:00,1.16324,1.16324,1.16317,1.16317,15300000
2026-06-02T03:44:00+03:00,1.16318,1.16326,1.16318,1.16323,30600000
2026-06-02T03:45:00+03:00,1.16323,1.16325,1.1632,1.16324,58950000
2026-06-02T03:46:00+03:00,1.16324,1.16327,1.16322,1.16325,31050000
2026-06-02T03:47:00+03:00,1.16325,1.16326,1.16323,1.16324,37350000
2026-06-02T03:48:00+03:00,1.16325,1.16326,1.16321,1.16326,46800000
2026-06-02T03:49:00+03:00,1.16327,1.16327,1.16317,1.16317,82800000
2026-06-02T03:50:00+03:00,1.16318,1.1632,1.16315,1.16317,31050000
2026-06-02T03:51:00+03:00,1.16317,1.16322,1.16316,1.16316,43650000
2026-06-02T03:52:00+03:00,1.16316,1.16317,1.16311,1.16315,37800000
2026-06-02T03:53:00+03:00,1.16314,1.16317,1.16312,1.16317,27000000
2026-06-02T03:54:00+03:00,1.16315,1.16316,1.16301,1.16305,79200000
2026-06-02T03:55:00+03:00,1.16304,1.16304,1.16291,1.16291,46350000
2026-06-02T03:56:00+03:00,1.16292,1.16306,1.16291,1.16305,70200000
2026-06-02T03:57:00+03:00,1.16303,1.1631,1.16303,1.16304,58950000
2026-06-02T03:58:00+03:00,1.16306,1.16312,1.16302,1.16311,35100000
2026-06-02T03:59:00+03:00,1.1631,1.16312,1.16301,1.1631,42300000
2026-06-02T04:00:00+03:00,1.16313,1.16327,1.16313,1.16322,137700000
2026-06-02T04:01:00+03:00,1.16322,1.16327,1.16313,1.16317,63000000
2026-06-02T04:02:00+03:00,1.16313,1.1633,1.16311,1.16327,64800000
2026-06-02T04:03:00+03:00,1.16327,1.16332,1.16324,1.16325,62550000
2026-06-02T04:04:00+03:00,1.16328,1.16328,1.16322,1.16323,14400000
2026-06-02T04:05:00+03:00,1.16323,1.16332,1.16323,1.16328,40950000
2026-06-02T04:06:00+03:00,1.16328,1.16337,1.16327,1.16335,22500000
2026-06-02T04:07:00+03:00,1.16336,1.16343,1.16336,1.16337,31050000
2026-06-02T04:08:00+03:00,1.16336,1.16338,1.16334,1.16334,31500000
2026-06-02T04:09:00+03:00,1.16334,1.16338,1.16331,1.16332,42750000
2026-06-02T04:10:00+03:00,1.16333,1.16338,1.16331,1.16337,25650000
2026-06-02T04:11:00+03:00,1.16337,1.16338,1.16332,1.16338,40050000
2026-06-02T04:12:00+03:00,1.1634,1.16354,1.1634,1.16353,29700000
2026-06-02T04:13:00+03:00,1.16353,1.16364,1.16353,1.16362,51300000
2026-06-02T04:14:00+03:00,1.16362,1.16367,1.16357,1.16358,59400000
2026-06-02T04:15:00+03:00,1.16357,1.16357,1.16347,1.16351,82350000
2026-06-02T04:16:00+03:00,1.16349,1.16351,1.16342,1.16351,41400000
2026-06-02T04:17:00+03:00,1.16351,1.16351,1.16346,1.16346,46800000
2026-06-02T04:18:00+03:00,1.16345,1.16348,1.16343,1.16343,13950000
2026-06-02T04:19:00+03:00,1.16345,1.16348,1.16342,1.16345,21150000
2026-06-02T04:20:00+03:00,1.16346,1.16346,1.16337,1.1634,45450000
2026-06-02T04:21:00+03:00,1.16341,1.16347,1.16341,1.16345,10350000
2026-06-02T04:22:00+03:00,1.16344,1.16345,1.16342,1.16345,12150000
2026-06-02T04:23:00+03:00,1.16344,1.16344,1.16341,1.16341,10800000
2026-06-02T04:24:00+03:00,1.16342,1.16345,1.1634,1.16343,27450000
2026-06-02T04:25:00+03:00,1.16342,1.16344,1.16336,1.16336,24300000
2026-06-02T04:26:00+03:00,1.16339,1.16339,1.16332,1.16332,18000000
2026-06-02T04:27:00+03:00,1.16333,1.16341,1.16333,1.16337,23850000
2026-06-02T04:28:00+03:00,1.1634,1.16343,1.1634,1.16341,13050000
