Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-04T03:00:00+03:00,1.1609,1.1611,1.16079,1.16089,346950000
2026-06-04T03:01:00+03:00,1.16088,1.16092,1.16078,1.16082,150300000
2026-06-04T03:02:00+03:00,1.1608,1.16094,1.1608,1.16082,99000000
2026-06-04T03:03:00+03:00,1.16083,1.16085,1.16075,1.16079,51750000
2026-06-04T03:04:00+03:00,1.16079,1.16085,1.16068,1.16084,58950000
2026-06-04T03:05:00+03:00,1.16081,1.16086,1.16075,1.16082,93820000
2026-06-04T03:06:00+03:00,1.16081,1.16081,1.16067,1.16073,88200000
2026-06-04T03:07:00+03:00,1.16074,1.16076,1.16068,1.16068,39600000
2026-06-04T03:08:00+03:00,1.16068,1.16073,1.16064,1.16067,78750000
2026-06-04T03:09:00+03:00,1.16067,1.16067,1.16054,1.16057,51300000
2026-06-04T03:10:00+03:00,1.16057,1.16064,1.16054,1.16063,69300000
2026-06-04T03:11:00+03:00,1.16063,1.16085,1.16062,1.16077,99000000
2026-06-04T03:12:00+03:00,1.16078,1.1608,1.16074,1.16078,43200000
2026-06-04T03:13:00+03:00,1.16077,1.16083,1.16074,1.16083,48150000
2026-06-04T03:14:00+03:00,1.16081,1.16085,1.16077,1.16085,40950000
2026-06-04T03:15:00+03:00,1.16083,1.16095,1.16074,1.16094,65700000
2026-06-04T03:16:00+03:00,1.16094,1.16098,1.1609,1.16095,63000000
2026-06-04T03:17:00+03:00,1.16096,1.16125,1.16094,1.16115,116550000
2026-06-04T03:18:00+03:00,1.16114,1.16116,1.1611,1.16111,37350000
2026-06-04T03:19:00+03:00,1.16111,1.16113,1.1611,1.1611,64800000
2026-06-04T03:20:00+03:00,1.16111,1.16118,1.16106,1.16111,70200000
2026-06-04T03:21:00+03:00,1.1611,1.1611,1.16094,1.161,58950000
2026-06-04T03:22:00+03:00,1.161,1.16102,1.16094,1.161,77850000
2026-06-04T03:23:00+03:00,1.16099,1.161,1.16098,1.161,20700000
2026-06-04T03:24:00+03:00,1.161,1.16104,1.16097,1.16097,36900000
2026-06-04T03:25:00+03:00,1.16098,1.16099,1.16089,1.16094,69750000
2026-06-04T03:26:00+03:00,1.16095,1.16097,1.16091,1.16094,91350000
2026-06-04T03:27:00+03:00,1.16094,1.16094,1.16087,1.16093,45000000
2026-06-04T03:28:00+03:00,1.16092,1.16097,1.16088,1.16092,69750000
2026-06-04T03:29:00+03:00,1.16092,1.16095,1.16087,1.16094,62100000
