Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-04T03:00:00+03:00,1.16093,1.16115,1.16083,1.16093,286510000
2026-06-04T03:01:00+03:00,1.16093,1.16096,1.16082,1.16084,120600000
2026-06-04T03:02:00+03:00,1.16085,1.16097,1.16085,1.16087,96750000
2026-06-04T03:03:00+03:00,1.16088,1.16088,1.16077,1.16083,65700000
2026-06-04T03:04:00+03:00,1.16082,1.16089,1.16071,1.16087,51300000
2026-06-04T03:05:00+03:00,1.16085,1.16089,1.16079,1.16085,76500000
2026-06-04T03:06:00+03:00,1.16084,1.16085,1.16071,1.16078,89100000
2026-06-04T03:07:00+03:00,1.16078,1.16078,1.16071,1.16071,26100000
2026-06-04T03:08:00+03:00,1.16069,1.16075,1.16067,1.16072,80100000
2026-06-04T03:09:00+03:00,1.1607,1.16071,1.16058,1.1606,60750000
2026-06-04T03:10:00+03:00,1.16062,1.16067,1.16059,1.16066,49500000
2026-06-04T03:11:00+03:00,1.16067,1.16087,1.16066,1.16079,84150000
2026-06-04T03:12:00+03:00,1.16081,1.16083,1.16078,1.1608,46350000
2026-06-04T03:13:00+03:00,1.16079,1.16086,1.16078,1.16085,43650000
2026-06-04T03:14:00+03:00,1.16084,1.16087,1.16081,1.16087,25200000
2026-06-04T03:15:00+03:00,1.16087,1.16098,1.16078,1.16098,55350000
2026-06-04T03:16:00+03:00,1.16099,1.16101,1.16092,1.16098,45900000
2026-06-04T03:17:00+03:00,1.16098,1.16129,1.16097,1.16119,89550000
2026-06-04T03:18:00+03:00,1.16115,1.16118,1.16113,1.16113,42750000
2026-06-04T03:19:00+03:00,1.16114,1.16116,1.16112,1.16114,67950000
2026-06-04T03:20:00+03:00,1.16114,1.1612,1.16109,1.16112,77400000
2026-06-04T03:21:00+03:00,1.16111,1.16112,1.16096,1.16102,45900000
2026-06-04T03:22:00+03:00,1.16101,1.16104,1.16097,1.16102,61200000
2026-06-04T03:23:00+03:00,1.16101,1.16103,1.16101,1.16102,16200000
2026-06-04T03:24:00+03:00,1.16101,1.16106,1.161,1.161,37800000
2026-06-04T03:25:00+03:00,1.161,1.16101,1.16092,1.16098,58050000
2026-06-04T03:26:00+03:00,1.161,1.16101,1.16094,1.16099,71550000
2026-06-04T03:27:00+03:00,1.16098,1.16098,1.16091,1.16097,31950000
2026-06-04T03:28:00+03:00,1.16096,1.16099,1.16091,1.16096,57600000
2026-06-04T03:29:00+03:00,1.16095,1.16098,1.16091,1.16097,45000000
2026-06-04T03:30:00+03:00,1.16098,1.16098,1.16084,1.16086,53550000
2026-06-04T03:31:00+03:00,1.16088,1.16097,1.16086,1.16092,60300000
2026-06-04T03:32:00+03:00,1.1609,1.16093,1.16088,1.16092,38250000
2026-06-04T03:33:00+03:00,1.16092,1.16104,1.16092,1.16101,40500000
2026-06-04T03:34:00+03:00,1.16102,1.16104,1.161,1.16102,24750000
2026-06-04T03:35:00+03:00,1.16105,1.16106,1.16099,1.161,74250000
2026-06-04T03:36:00+03:00,1.16102,1.16106,1.161,1.16102,58500000
2026-06-04T03:37:00+03:00,1.16101,1.16107,1.16101,1.16102,52200000
2026-06-04T03:38:00+03:00,1.16101,1.16101,1.16095,1.161,41400000
2026-06-04T03:39:00+03:00,1.16099,1.16107,1.16098,1.161,78750000
2026-06-04T03:40:00+03:00,1.161,1.16103,1.16095,1.16101,36000000
2026-06-04T03:41:00+03:00,1.16101,1.16103,1.16099,1.16103,55350000
2026-06-04T03:42:00+03:00,1.16103,1.16109,1.161,1.16106,36900000
2026-06-04T03:43:00+03:00,1.16107,1.16118,1.16107,1.16116,54900000
2026-06-04T03:44:00+03:00,1.16116,1.16121,1.16109,1.16117,62100000
2026-06-04T03:45:00+03:00,1.16117,1.16118,1.16111,1.16111,42750000
2026-06-04T03:46:00+03:00,1.16113,1.16113,1.16103,1.16106,54450000
2026-06-04T03:47:00+03:00,1.16106,1.16115,1.16104,1.16112,54000000
2026-06-04T03:48:00+03:00,1.16111,1.16111,1.16103,1.16103,34650000
2026-06-04T03:49:00+03:00,1.16105,1.16108,1.16102,1.16106,25650000
2026-06-04T03:50:00+03:00,1.16105,1.16108,1.16096,1.16096,71100000
2026-06-04T03:51:00+03:00,1.16096,1.16098,1.16092,1.16092,28350000
2026-06-04T03:52:00+03:00,1.16091,1.16093,1.16086,1.16092,40050000
2026-06-04T03:53:00+03:00,1.16091,1.16096,1.16088,1.16088,47250000
2026-06-04T03:54:00+03:00,1.16088,1.16091,1.16081,1.16081,51750000
2026-06-04T03:55:00+03:00,1.1608,1.16081,1.16065,1.16066,71100000
2026-06-04T03:56:00+03:00,1.16067,1.16068,1.16062,1.16062,55800000
2026-06-04T03:57:00+03:00,1.16062,1.16065,1.16061,1.16063,15750000
2026-06-04T03:58:00+03:00,1.16063,1.16068,1.16061,1.16068,31950000
2026-06-04T03:59:00+03:00,1.16069,1.16072,1.16063,1.16071,39150000
2026-06-04T04:00:00+03:00,1.16068,1.16068,1.16042,1.16052,128700000
